Integration Report

Project Name: ,Project 41,Type:,Residential,Location:,"London, England"
Quotation Number:,.0,Created by:,Anthony Carter,Document Revision:,
Lutron Designer 23.7.0.17651,,Created on:,"December 05, 2023",,

Device name,Model,href,Component,Component href,Component Name
Ground Floor\‎Lutron Headend\‎Crrestron Phantom\‎Control Station Device 001,Phantom Keypad,/device/5764,Button 6,/button/6071,Shading On
,,,Button 7,/button/134097,Shading Relax
,,,Button 8,/button/134104,Shading Soft
,,,Button 10,/button/6078,Shading OFF
,,,Button 11,/button/171522,Kitchen Shade Toggle
,,,Led 001,/led/6070,
,,,Led 002,/led/6077,
,,,Led 003,/led/134096,
,,,Led 004,/led/134103,
,,,Led 005,/led/171521,
Ground Floor\‎Lutron Headend\‎Device 64\‎CSD 001,Phantom Keypad,/device/131907,Button 1,/button/131939,All ON
,,,Button 2,/button/131946,All OFF
,,,Button 3,/button/131953,Sitting Shade Open
,,,Button 4,/button/131960,Sitting Shade Close
,,,Button 5,/button/131967,Cinema Curtian Open
,,,Button 6,/button/131974,Cinema Curtain Close
,,,Button 7,/button/131981,Entrance Shade Open
,,,Button 8,/button/131988,Entrance Shade Close
,,,Button 9,/button/131995,DMX On
,,,Button 10,/button/132002,DMX Off
,,,Button 11,/button/132009,Sitting Shade Stop
,,,Button 12,/button/132016,Cinema Curtain Stop
,,,Button 13,/button/132023,Entrance Shade Stop
,,,Button 14,/button/132030,Button 14
,,,Button 15,/button/132037,Button 15
,,,Button 16,/button/132044,Button 16
,,,Button 17,/button/132051,Button 17
,,,Button 18,/button/132058,Button 18
,,,Button 19,/button/132065,Button 19
,,,Button 20,/button/132072,Button 20
,,,Button 21,/button/132079,Button 21
,,,Button 22,/button/132086,Button 22
,,,Button 23,/button/132093,Button 23
,,,Button 24,/button/132100,Button 24
,,,Button 25,/button/132107,Button 25
,,,Button 26,/button/132114,Button 26
,,,Button 27,/button/132121,Button 27
,,,Button 28,/button/132128,Button 28
,,,Button 29,/button/132135,Button 29
,,,Button 30,/button/132142,Button 30
,,,Button 31,/button/132149,Button 31
,,,Button 32,/button/132156,Button 32
,,,Button 33,/button/132163,Button 33
,,,Button 34,/button/132170,Button 34
,,,Button 35,/button/132177,Button 35
,,,Button 36,/button/132184,Button 36
,,,Button 37,/button/132191,Button 37
,,,Button 38,/button/132198,Button 38
,,,Button 39,/button/132205,Button 39
,,,Button 40,/button/132212,Button 40
,,,Button 41,/button/132219,Button 41
,,,Button 42,/button/132226,Button 42
,,,Button 43,/button/132233,Button 43
,,,Button 44,/button/132240,Button 44
,,,Button 45,/button/132247,Button 45
,,,Button 46,/button/132254,Button 46
,,,Button 47,/button/132261,Button 47
,,,Button 48,/button/132268,Button 48
,,,Button 49,/button/132275,Button 49
,,,Button 50,/button/132282,Button 50
,,,Led 001,/led/131938,
,,,Led 002,/led/131945,
,,,Led 003,/led/131952,
,,,Led 004,/led/131959,
,,,Led 005,/led/131966,
,,,Led 006,/led/131973,
,,,Led 007,/led/131980,
,,,Led 008,/led/131987,
,,,Led 009,/led/131994,
,,,Led 010,/led/132001,
,,,Led 011,/led/132008,
,,,Led 012,/led/132015,
,,,Led 013,/led/132022,
,,,Led 014,/led/132029,
,,,Led 015,/led/132036,
,,,Led 016,/led/132043,
,,,Led 017,/led/132050,
,,,Led 018,/led/132057,
,,,Led 019,/led/132064,
,,,Led 020,/led/132071,
,,,Led 021,/led/132078,
,,,Led 022,/led/132085,
,,,Led 023,/led/132092,
,,,Led 024,/led/132099,
,,,Led 025,/led/132106,
,,,Led 026,/led/132113,
,,,Led 027,/led/132120,
,,,Led 028,/led/132127,
,,,Led 029,/led/132134,
,,,Led 030,/led/132141,
,,,Led 031,/led/132148,
,,,Led 032,/led/132155,
,,,Led 033,/led/132162,
,,,Led 034,/led/132169,
,,,Led 035,/led/132176,
,,,Led 036,/led/132183,
,,,Led 037,/led/132190,
,,,Led 038,/led/132197,
,,,Led 039,/led/132204,
,,,Led 040,/led/132211,
,,,Led 041,/led/132218,
,,,Led 042,/led/132225,
,,,Led 043,/led/132232,
,,,Led 044,/led/132239,
,,,Led 045,/led/132246,
,,,Led 046,/led/132253,
,,,Led 047,/led/132260,
,,,Led 048,/led/132267,
,,,Led 049,/led/132274,
,,,Led 050,/led/132281,
Ground Floor\‎Lutron Headend\‎FLD Phantom Keypad\‎CSD 001,Phantom Keypad,/device/154353,Button 1,/button/154357,Shades Bocci
,,,Button 2,/button/154364,Shades Bocci Raise
,,,Button 3,/button/154371,Shades Bocci Lower
,,,Button 4,/button/154378,Entry Bocci
,,,Button 5,/button/154385,Entry Bocci Raise
,,,Button 6,/button/154392,Entry Bocci Lower
,,,Button 7,/button/154399,Bar Bocci
,,,Button 8,/button/154406,Bar Bocci Raise
,,,Button 9,/button/154413,Bar Bocci Lower
,,,Button 10,/button/154456,Entry Occhio
,,,Button 11,/button/154463,Entry Occhio Raise
,,,Button 12,/button/154470,Entry Occhio Lower
,,,Button 13,/button/154536,Basement Reef
,,,Button 14,/button/154543,Basement Reef Raise
,,,Button 15,/button/154550,Basement Reef Lower
,,,Led 001,/led/154356,
,,,Led 002,/led/154363,
,,,Led 003,/led/154370,
,,,Led 004,/led/154377,
,,,Led 005,/led/154384,
,,,Led 006,/led/154391,
,,,Led 007,/led/154398,
,,,Led 008,/led/154405,
,,,Led 009,/led/154412,
,,,Led 010,/led/154455,
,,,Led 011,/led/154462,
,,,Led 012,/led/154469,
,,,Led 013,/led/154535,
,,,Led 014,/led/154542,
,,,Led 015,/led/154549,
Ground Floor\‎Lutron Headend\‎FLD Crestron Scene Setting Keypad\‎CSD 001,HWIS-10BRL-F-SN,/device/154614,Button 1,/button/154631,Entry Bocci
,,,Button 2,/button/154632,Entry Occh
,,,Button 3,/button/154633,Bmnt Reef
,,,Button 4,/button/154634,Shade Bocc
,,,Button 5,/button/154635,Bar Bocci
,,,Button 6,/button/154636,Global FLD
,,,Button 7,/button/154637,Glob Entert
,,,Button 8,/button/154638,
,,,Button 9,/button/154639,
,,,Button 10,/button/154640,
,,,Button 18,/button/154641,
,,,Button 19,/button/154643,
,,,Led 1,/led/154620,
,,,Led 2,/led/154621,
,,,Led 3,/led/154622,
,,,Led 4,/led/154623,
,,,Led 5,/led/154624,
,,,Led 6,/led/154625,
,,,Led 7,/led/154626,
,,,Led 8,/led/154627,
